Produkt_Code,SDO_ID,Zeitstempel,Wert,Qualitaet_Byte,Qualitaet_Niveau
OBS_DEU_PT5M_T2M,998,2024-01-01T00:00:00,20.0493,1,3
OBS_DEU_PT5M_T2M,998,2024-01-01T00:05:00,17.8072,1,3
OBS_DEU_PT5M_T2M,998,2024-01-01T00:10:00,18.9539,1,3
OBS_DEU_PT5M_T2M,998,2024-01-01T00:15:00,18.5924,1,3
OBS_DEU_PT5M_T2M,998,2024-01-01T00:20:00,17.2459,1,3
OBS_DEU_PT5M_T2M,998,2024-01-01T00:25:00,17.8687,1,3
OBS_DEU_PT5M_T2M,998,2024-01-01T00:30:00,16.482,1,3
OBS_DEU_PT5M_T2M,998,2024-01-01T00:35:00,16.387,1,3
OBS_DEU_PT5M_T2M,998,2024-01-01T00:40:00,19.1058,1,3
OBS_DEU_PT5M_T2M,998,2024-01-01T00:45:00,17.4056,1,3
OBS_DEU_PT5M_T2M,998,2024-01-01T00:50:00,16.8719,1,3
OBS_DEU_PT5M_T2M,998,2024-01-01T00:55:00,15.097,1,3
OBS_DEU_PT5M_T2M,998,2024-01-01T01:00:00,18.9696,1,3
OBS_DEU_PT5M_T2M,998,2024-01-01T01:05:00,18.896,1,3
OBS_DEU_PT5M_T2M,998,2024-01-01T01:10:00,16.0983,1,3
OBS_DEU_PT5M_T2M,998,2024-01-01T01:15:00,19.9539,1,3
OBS_DEU_PT5M_T2M,998,2024-01-01T01:20:00,17.0011,1,3
OBS_DEU_PT5M_T2M,998,2024-01-01T01:25:00,17.0152,1,3
OBS_DEU_PT5M_T2M,998,2024-01-01T01:30:00,17.9606,1,3
OBS_DEU_PT5M_T2M,998,2024-01-01T01:35:00,17.751,1,3
OBS_DEU_PT5M_T2M,998,2024-01-01T01:40:00,18.2585,1,3
OBS_DEU_PT5M_T2M,998,2024-01-01T01:45:00,17.1062,1,3
OBS_DEU_PT5M_T2M,998,2024-01-01T01:50:00,16.5528,1,3
OBS_DEU_PT5M_T2M,998,2024-01-01T01:55:00,16.9763,1,3
OBS_DEU_PT5M_T2M,998,2024-01-01T02:00:00,18.1537,1,3
OBS_DEU_PT5M_T2M,998,2024-01-01T02:05:00,17.4979,1,3
OBS_DEU_PT5M_T2M,998,2024-01-01T02:10:00,17.726,1,3
OBS_DEU_PT5M_T2M,998,2024-01-01T02:15:00,17.7794,1,3
OBS_DEU_PT5M_T2M,998,2024-01-01T02:20:00,17.0292,1,3
OBS_DEU_PT5M_T2M,998,2024-01-01T02:25:00,17.4531,1,3
OBS_DEU_PT5M_T2M,998,2024-01-01T02:30:00,18.7834,1,3
OBS_DEU_PT5M_T2M,998,2024-01-01T02:35:00,19.8039,1,3
OBS_DEU_PT5M_T2M,998,2024-01-01T02:40:00,18.6124,1,3
OBS_DEU_PT5M_T2M,998,2024-01-01T02:45:00,15.9997,1,3
OBS_DEU_PT5M_T2M,998,2024-01-01T02:50:00,18.1268,1,3
